"Logo","Admin Name","ID","Created Date","Updated Date","Owner","Services_multireference","URL","repeaterBoxBackground","Publish Date","Unpublish Date","Status"
,"Pitney Bowes","064b6800-41f9-4c7d-a7d3-385a801e40e8",2025-12-08T14:40:55Z,2025-12-08T16:10:45Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""a63f86cf-6e0a-445a-b724-8993797f0b93""]","https://www.pitneybowes.com/us",,2025-12-08T14:37:24Z,,"PUBLISHED"
,"DentGuard","0722298d-abbb-4392-9d8b-42bbca680bc1",2025-12-08T14:38:58Z,2026-01-12T18:50:50Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""d3162a86-fd92-4b8d-bef9-437663c37cac""]","https://nobilisgroup.com/group1/","wix:image://v1/5d9024_dd36ec8e038c4c638df385ed07964b3b~mv2.jpg/#dedede_edited_edited.jpg#originWidth=54&originHeight=27",2025-12-08T14:37:24Z,,"PUBLISHED"
,"GSFS Group","167c280b-c907-42dd-a32d-a813503ad4b2",2025-12-08T14:39:23Z,2026-01-12T18:50:57Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""35ff068b-f722-45ad-9c32-bcf837840e01"",""90194a06-0f07-48e5-998b-e3bf8ed3788a"",""0419ace0-5d01-47e4-b287-1bed242e572a"",""3d04f1b9-13f1-4a95-97e0-a6eaf7f874e5"",""5723dfb8-c452-47c0-a239-abea2eeca6ad"",""7b9f45f0-41d3-48c0-979a-ab02d5889e54"",""afe10aae-ff84-4796-a502-807c5719bfe5""]","https://www.gsfsgroup.com/","wix:image://v1/5d9024_dd36ec8e038c4c638df385ed07964b3b~mv2.jpg/#dedede_edited_edited.jpg#originWidth=54&originHeight=27",2025-12-08T14:37:24Z,,"PUBLISHED"
,"iA American","1fef7df5-1538-4e59-8b72-e0cc82d572c4",2025-12-08T14:39:42Z,2026-01-12T18:51:07Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""35ff068b-f722-45ad-9c32-bcf837840e01"",""90194a06-0f07-48e5-998b-e3bf8ed3788a"",""0419ace0-5d01-47e4-b287-1bed242e572a"",""230ed101-caee-4a68-ae71-d122465b104f"",""a3612523-dc01-4ac2-9ad2-a1bc559b978f"",""9640a251-6be4-43e0-9ab4-f13ae4066392"",""5723dfb8-c452-47c0-a239-abea2eeca6ad"",""c41d3695-c808-48d3-b45c-bf6327d50ada"",""d3162a86-fd92-4b8d-bef9-437663c37cac"",""fd02b893-840f-4afe-ac52-78da7213e1c6"",""80c1c978-0766-4abf-bf7f-60e3e9588530"",""2228b34d-a92c-422d-8c1e-ee09e1b1e4f7"",""04179dd2-69c8-4016-a481-5d4fd398a8d4""]","https://www.iaawg.com/","wix:image://v1/5d9024_dd36ec8e038c4c638df385ed07964b3b~mv2.jpg/#dedede_edited_edited.jpg#originWidth=54&originHeight=27",2025-12-08T14:37:24Z,,"PUBLISHED"
,"Wise F&I","244e03a6-21ba-474d-82c7-77111520e3aa",2025-12-08T15:15:55Z,2025-12-08T16:15:06Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""35ff068b-f722-45ad-9c32-bcf837840e01"",""90194a06-0f07-48e5-998b-e3bf8ed3788a"",""0419ace0-5d01-47e4-b287-1bed242e572a"",""230ed101-caee-4a68-ae71-d122465b104f"",""1f5f7443-501a-4b2d-93a1-5fc8ea6228d5"",""145e759e-8bf5-47c8-b0f6-fc89ab16d54d"",""c41d3695-c808-48d3-b45c-bf6327d50ada"",""80c1c978-0766-4abf-bf7f-60e3e9588530""]","https://www.wisefandi.com/",,2025-12-08T14:37:24Z,,"PUBLISHED"
,"Line5","2b74ef4b-df79-4001-b3d5-058b70603bf6",2025-12-08T14:39:53Z,2025-12-08T16:08:24Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""a63f86cf-6e0a-445a-b724-8993797f0b93""]","https://www.line5.com/",,2025-12-08T14:37:24Z,,"PUBLISHED"
,"NAMAD","2cbc72ef-2c26-428e-ac35-3ec3539db470",2025-12-08T14:40:13Z,2025-12-08T16:09:43Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""f7e0de96-486e-4b5f-b824-6f6fbad1f74c"",""afe10aae-ff84-4796-a502-807c5719bfe5""]","https://namad.org/",,2025-12-08T14:37:24Z,,"PUBLISHED"
,"Performance Administrators","32740840-04a7-4d19-9f08-6d16f5d43cb8",2025-12-08T14:40:45Z,2025-12-08T16:10:31Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""35ff068b-f722-45ad-9c32-bcf837840e01"",""90194a06-0f07-48e5-998b-e3bf8ed3788a"",""145e759e-8bf5-47c8-b0f6-fc89ab16d54d""]","https://www.performanceadmin.com/",,2025-12-08T14:37:24Z,,"PUBLISHED"
,"The Zero Plan","3920210f-4009-4876-854f-6a5e9124986e",2025-12-08T15:16:08Z,2025-12-08T16:16:09Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""a63f86cf-6e0a-445a-b724-8993797f0b93""]","https://thezeroplan.com/wp/",,2025-12-08T14:37:24Z,,"PUBLISHED"
,"Xzilon","3d1d9fbd-2d34-4c9b-ac84-8954d8f43bb2",2025-12-08T15:16:01Z,2025-12-08T16:15:58Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","[""c41d3695-c808-48d3-b45c-bf6327d50ada""]","https://www.xzilon.com/",,2025-12-08T14:37:24Z,,"PUBLISHED"
