"Title","ID","Created Date","Updated Date","Owner","Services (Item)","Multi-Reference","Publish Date","Unpublish Date","Status"
"Menus","04179dd2-69c8-4016-a481-5d4fd398a8d4",2025-11-24T21:04:39Z,2026-01-16T19:03:33Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","/services/menus","[""1fef7df5-1538-4e59-8b72-e0cc82d572c4"",""44138663-2590-4414-b1dc-a9878817b077"",""64b60fab-5c52-4f17-bd58-bad5d79840e3"",""889073e4-e3e6-4974-b1eb-ff8463d010fa""]",2025-11-24T21:02:02Z,,"PUBLISHED"
"Tire & Wheel","0419ace0-5d01-47e4-b287-1bed242e572a",2025-11-24T21:02:12Z,2025-12-08T15:51:32Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","/services/tire-%26-wheel","[""fa865b94-a3b5-433d-8afd-901f08621fef"",""e94ef0f8-91a2-4b9f-9f53-5a23595b932a"",""a1b936f5-277b-4bce-9d37-5158d3aec47e"",""fa66b3dd-6aae-4635-a5a5-b5b85929c5db"",""f20b420a-1e23-4b83-83c6-8e7bb235ee42"",""167c280b-c907-42dd-a32d-a813503ad4b2"",""1fef7df5-1538-4e59-8b72-e0cc82d572c4"",""44138663-2590-4414-b1dc-a9878817b077"",""7fc6fa83-9a32-416e-9a0f-8b4274f56de6"",""b485af9e-9b49-46a2-8420-ff50d6d38389"",""bf6b5895-329e-4d83-a5db-427d9952dd45"",""870416f8-c0a1-43df-a944-9cf16f6994a8"",""ee024c67-b2c6-4ab3-afdb-ff9a7f1e7cfa"",""9958254e-f3d4-41d8-a45d-3ce48c672945"",""ce72163f-d8e9-41a4-beb7-d9d2b8cd0461"",""244e03a6-21ba-474d-82c7-77111520e3aa"",""e3949391-066a-4431-9745-be574d537688""]",2025-11-24T21:02:02Z,,"PUBLISHED"
"Commercial Use Coverage","145e759e-8bf5-47c8-b0f6-fc89ab16d54d",2025-11-24T21:02:18Z,2025-12-08T16:50:33Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","/services/commercial-use-coverage","[""fa66b3dd-6aae-4635-a5a5-b5b85929c5db"",""89e8e86a-78fd-409a-99c8-eab5bd88e28e"",""7fc6fa83-9a32-416e-9a0f-8b4274f56de6"",""32740840-04a7-4d19-9f08-6d16f5d43cb8"",""ce72163f-d8e9-41a4-beb7-d9d2b8cd0461"",""244e03a6-21ba-474d-82c7-77111520e3aa""]",2025-11-24T21:02:19Z,,"PUBLISHED"
"Clean Environment Protection","163c2383-fe15-4564-a694-a391012aa1c2",2025-11-24T21:04:44Z,2026-01-16T19:07:15Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","/services/clean-environment-protection","[""44138663-2590-4414-b1dc-a9878817b077"",""ce72163f-d8e9-41a4-beb7-d9d2b8cd0461""]",2025-11-24T21:02:02Z,,"PUBLISHED"
"Trade In Protection","1f5f7443-501a-4b2d-93a1-5fc8ea6228d5",2025-11-24T21:02:16Z,2025-12-08T16:49:17Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","/services/trade-in-protection","[""7fc6fa83-9a32-416e-9a0f-8b4274f56de6"",""244e03a6-21ba-474d-82c7-77111520e3aa""]",2025-11-24T21:02:02Z,,"PUBLISHED"
"Roadside Assistance","2228b34d-a92c-422d-8c1e-ee09e1b1e4f7",2025-11-24T21:04:38Z,2026-01-16T19:01:51Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","/services/roadside-assistance","[""1fef7df5-1538-4e59-8b72-e0cc82d572c4""]",2025-11-24T21:02:02Z,,"PUBLISHED"
"Key Coverage/Replacement","230ed101-caee-4a68-ae71-d122465b104f",2025-11-24T21:02:13Z,2025-12-08T15:51:32Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","/services/key-coverage%2Freplacement","[""a1b936f5-277b-4bce-9d37-5158d3aec47e"",""fa66b3dd-6aae-4635-a5a5-b5b85929c5db"",""1fef7df5-1538-4e59-8b72-e0cc82d572c4"",""7fc6fa83-9a32-416e-9a0f-8b4274f56de6"",""b485af9e-9b49-46a2-8420-ff50d6d38389"",""870416f8-c0a1-43df-a944-9cf16f6994a8"",""ee024c67-b2c6-4ab3-afdb-ff9a7f1e7cfa"",""ce72163f-d8e9-41a4-beb7-d9d2b8cd0461"",""244e03a6-21ba-474d-82c7-77111520e3aa""]",2025-11-24T21:02:02Z,,"PUBLISHED"
"Total Loss Protection","24f13018-c0dc-4162-9e9c-8bc9fdb86d0f",2025-11-24T21:02:17Z,2025-12-08T16:49:34Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","/services/total-loss-protection","[""b485af9e-9b49-46a2-8420-ff50d6d38389""]",2025-11-24T21:02:02Z,,"PUBLISHED"
"Service Contracts","35ff068b-f722-45ad-9c32-bcf837840e01",2025-11-24T21:02:03Z,2025-12-08T15:51:32Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","/services/service-contracts","[""fa865b94-a3b5-433d-8afd-901f08621fef"",""e94ef0f8-91a2-4b9f-9f53-5a23595b932a"",""a1b936f5-277b-4bce-9d37-5158d3aec47e"",""fa66b3dd-6aae-4635-a5a5-b5b85929c5db"",""e441c6b1-8011-4b6e-b1d6-6ce7a231fbd2"",""aae871f7-47c0-4d99-8b16-46d1b578fe5c"",""f20b420a-1e23-4b83-83c6-8e7bb235ee42"",""167c280b-c907-42dd-a32d-a813503ad4b2"",""89e8e86a-78fd-409a-99c8-eab5bd88e28e"",""efe63e91-a01b-453b-954d-c61c4f863597"",""1fef7df5-1538-4e59-8b72-e0cc82d572c4"",""44138663-2590-4414-b1dc-a9878817b077"",""63a20db9-2745-4a00-804f-75493c029037"",""7fc6fa83-9a32-416e-9a0f-8b4274f56de6"",""32740840-04a7-4d19-9f08-6d16f5d43cb8"",""c90da4ea-db1e-4e0d-b559-4849e8e04682"",""bf6b5895-329e-4d83-a5db-427d9952dd45"",""ee024c67-b2c6-4ab3-afdb-ff9a7f1e7cfa"",""9958254e-f3d4-41d8-a45d-3ce48c672945"",""ce72163f-d8e9-41a4-beb7-d9d2b8cd0461"",""244e03a6-21ba-474d-82c7-77111520e3aa"",""e3949391-066a-4431-9745-be574d537688""]",2025-11-24T21:02:02Z,,"PUBLISHED"
"Maintenance","3d04f1b9-13f1-4a95-97e0-a6eaf7f874e5",2025-11-24T21:02:15Z,2025-12-08T15:51:32Z,"5d9024a4-3bce-4db6-9806-dc8bd40befe2","/services/maintenance","[""fa865b94-a3b5-433d-8afd-901f08621fef"",""e94ef0f8-91a2-4b9f-9f53-5a23595b932a"",""a1b936f5-277b-4bce-9d37-5158d3aec47e"",""fa66b3dd-6aae-4635-a5a5-b5b85929c5db"",""f20b420a-1e23-4b83-83c6-8e7bb235ee42"",""167c280b-c907-42dd-a32d-a813503ad4b2"",""7fc6fa83-9a32-416e-9a0f-8b4274f56de6"",""b485af9e-9b49-46a2-8420-ff50d6d38389"",""ee024c67-b2c6-4ab3-afdb-ff9a7f1e7cfa"",""ce72163f-d8e9-41a4-beb7-d9d2b8cd0461""]",2025-11-24T21:02:02Z,,"PUBLISHED"
